k_factor,recency_factor,recency_window,carry_over_factor,accuracy,brier_score,log_loss,num_seasons
28,1.5,10,0.7,0.7892547842796599,0.1535109296617971,0.4684550201727957,9
30,3.0,30,0.7,0.7926768275026981,0.15392074858331803,0.4685500107299213,9
28,1.0,15,0.7,0.7892547842796599,0.15353502448038261,0.4685767285671684,9
28,1.0,10,0.7,0.7892547842796599,0.15353502448038261,0.4685767285671684,9
28,1.0,20,0.7,0.7892547842796599,0.15353502448038261,0.4685767285671684,9
28,1.0,25,0.7,0.7892547842796599,0.15353502448038261,0.4685767285671684,9
28,1.0,30,0.7,0.7892547842796599,0.15353502448038261,0.4685767285671684,9
28,1.5,30,0.7,0.7892547842796599,0.1536384571686408,0.468767508036992,9
28,1.75,30,0.7,0.790913159072363,0.15370180299453287,0.4688867862312897,9
28,2.0,30,0.7,0.7926768275026981,0.15377262606678915,0.46902135552943075,9
28,2.25,30,0.7,0.7944404959330332,0.15385074180494496,0.4691707875708061,9
28,2.5,30,0.7,0.7960988707257364,0.1539359824265363,0.4693346899019926,9
28,2.75,30,0.7,0.7960988707257364,0.15402819615935023,0.4695127043603825,9
25,3.0,20,0.7,0.7960988707257364,0.15374458169255872,0.46968393237130684,9
28,3.0,30,0.7,0.7960988707257364,0.1541272464776838,0.46970450556826626,9
25,2.75,20,0.7,0.7944404959330332,0.15377226979435493,0.4698246529810111,9
25,2.5,20,0.7,0.7944404959330332,0.15380348739688823,0.46997218279439107,9
25,3.0,25,0.7,0.7978625391560715,0.15388547045384804,0.4700258210752984,9
25,2.75,25,0.7,0.7978625391560715,0.15389070584458694,0.4701131942627988,9
25,2.25,20,0.7,0.7927821211403301,0.15383828276606118,0.47012661312779563,9
25,2.5,25,0.7,0.7960988707257364,0.15390076319172363,0.47021021528636,9
25,2.0,20,0.7,0.7927821211403301,0.1538767086957616,0.4702880451845623,9
25,2.25,25,0.7,0.7943352022954013,0.1539157310974873,0.47031706201621937,9
25,3.0,15,0.7,0.7910184527099949,0.15395062629468986,0.47032518012785396,9
25,2.75,15,0.7,0.7910184527099949,0.1539569269253815,0.47039422939521347,9
25,2.0,25,0.7,0.7926768275026981,0.15393570659344633,0.47043392984555193,9
25,1.75,20,0.7,0.7910184527099949,0.1539188225888756,0.4704565901978159,9
25,2.5,15,0.7,0.7910184527099949,0.15396558331876345,0.47046781075962457,9
25,2.25,15,0.7,0.7910184527099949,0.15397660978383454,0.47054594844318576,9
25,3.0,10,0.7,0.7910184527099949,0.1539915163290694,0.4705572898688975,9
25,1.75,25,0.7,0.7926768275026981,0.15396079543590283,0.47056103230560253,9
25,2.75,10,0.7,0.7910184527099949,0.15399510996271062,0.4706012496854251,9
25,2.0,15,0.7,0.7910184527099949,0.15399002265271455,0.4706286714957343,9
25,1.5,20,0.7,0.7892547842796599,0.15396468653396447,0.47063236957056176,9
25,2.5,10,0.7,0.7910184527099949,0.15400039314573064,0.4706486531233277,9
25,1.5,25,0.7,0.7927821211403301,0.15399111240519797,0.4706986017121309,9
25,2.25,10,0.7,0.7892547842796599,0.1540073712196984,0.47069951085901646,9
25,1.75,15,0.7,0.7892547842796599,0.1540058403028066,0.47071601381814243,9
25,2.0,10,0.7,0.7892547842796599,0.15401605045089772,0.4707538361374765,9
25,1.5,15,0.7,0.7875964094869566,0.15402408317657013,0.47080801418599244,9
25,1.75,10,0.7,0.7910184527099949,0.15402643803412536,0.47081164479341975,9
25,1.5,10,0.7,0.7893600779172918,0.1540385420943432,0.4708729552730316,9
25,1.0,15,0.7,0.7893600779172918,0.15406793679076475,0.47100616868028694,9
25,1.0,30,0.7,0.7893600779172918,0.15406793679076475,0.47100616868028694,9
25,1.0,25,0.7,0.7893600779172918,0.15406793679076475,0.47100616868028694,9
25,1.0,20,0.7,0.7893600779172918,0.15406793679076475,0.47100616868028694,9
25,1.0,10,0.7,0.7893600779172918,0.15406793679076475,0.47100616868028694,9
25,1.5,30,0.7,0.7944404959330332,0.15414730988958575,0.4711224930018202,9
25,1.75,30,0.7,0.7962041643633683,0.1541977754241653,0.4712026640736946,9
25,2.0,30,0.7,0.7978625391560715,0.1542551663322709,0.47129693624752605,9
25,2.25,30,0.7,0.7960988707257364,0.15431930569771496,0.4714049205481117,9
25,2.5,30,0.7,0.7960988707257364,0.15439003055235037,0.4715262577192952,9
25,2.75,30,0.7,0.7960988707257364,0.15446719118188615,0.4716606167181042,9
25,3.0,30,0.7,0.7960988707257364,0.15455065046677768,0.47180769332878225,9
22,3.0,20,0.7,0.7978625391560715,0.15440959964662937,0.47256897463907105,9
22,2.75,20,0.7,0.7978625391560715,0.15444390403972633,0.47272495077391535,9
22,3.0,25,0.7,0.7996262075864066,0.1545291532301118,0.47283778841761837,9
22,2.5,20,0.7,0.7978625391560715,0.154481591045044,0.47288753375318393,9
22,2.75,25,0.7,0.7996262075864066,0.15454402706132592,0.4729504403133363,9
22,2.25,20,0.7,0.7978625391560715,0.1545227098210079,0.4730568167314946,9
22,2.5,25,0.7,0.7996262075864066,0.1545634762493634,0.47307229505558035,9
40,3.0,20,0.6,0.7739082365948037,0.15608618384991862,0.47310546261876163,9
40,2.75,20,0.6,0.7721445681644686,0.156095265420228,0.47317857040123873,9
22,2.25,25,0.7,0.7978625391560715,0.1545875902147355,0.4732035281773055,9
22,2.0,20,0.7,0.7978625391560715,0.15456731301899743,0.47323290045510397,9
22,3.0,15,0.7,0.7960988707257364,0.15462433811171641,0.4732384157590166,9
40,2.5,20,0.6,0.7754613177498749,0.15610723019003697,0.4732567549767654,9
22,2.75,15,0.7,0.7960988707257364,0.15463600717330894,0.4733189563882645,9
40,2.25,20,0.6,0.7754613177498749,0.15612212306533382,0.4733401376262321,9
22,2.0,25,0.7,0.7978625391560715,0.15461646513805707,0.47334432929528625,9
22,2.5,15,0.7,0.7960988707257364,0.15464992792458312,0.4734038869575978,9
22,1.75,20,0.7,0.7944404959330332,0.1546154568659455,0.4734158934207906,9
40,2.0,20,0.6,0.7754613177498749,0.15613999801363543,0.47342886001152096,9
22,2.25,15,0.7,0.7960988707257364,0.15466611651041534,0.4734932364204065,9
22,1.75,25,0.7,0.7960988707257364,0.15465020422837508,0.4734949026887777,9
22,3.0,10,0.7,0.7944404959330332,0.1546812325000029,0.4735096455716917,9
40,1.75,20,0.6,0.7754613177498749,0.15616091818394395,0.47352308424737255,9
40,3.0,15,0.6,0.7721445681644686,0.15625605564457723,0.4735379791653486,9
22,2.75,10,0.7,0.7944404959330332,0.15468828820739042,0.47356063950506944,9
40,2.75,15,0.6,0.7754613177498749,0.15624842593605504,0.47356659310717464,9
22,2.0,15,0.7,0.7960988707257364,0.15468459059685322,0.4735870372964989,9
40,2.5,15,0.6,0.7754613177498749,0.1562424570212808,0.4735977598563197,9
22,1.5,20,0.7,0.7944404959330332,0.1546672012468341,0.4736059120383709,9
22,2.5,10,0.7,0.7944404959330332,0.15469690294989963,0.4736148138988663,9
40,1.5,20,0.6,0.7754613177498749,0.1561849560181957,0.4736229929080403,9
40,2.25,15,0.6,0.7754613177498749,0.15623816533402582,0.4736315088599171,9
40,3.0,10,0.6,0.7754613177498749,0.15625322928990978,0.4736426595968488,9
22,1.5,25,0.7,0.7960988707257364,0.15468891800136675,0.4736554679140937,9
40,2.75,10,0.6,0.7754613177498749,0.15624657982448462,0.473657715198138,9
40,2.0,15,0.6,0.7754613177498749,0.1562355713531927,0.4736678793461498,9
22,2.25,10,0.7,0.7944404959330332,0.154707083326411,0.4736721821238253,9
40,2.5,10,0.6,0.7754613177498749,0.15624144941438922,0.47367553343444285,9
22,1.75,15,0.7,0.7944404959330332,0.15470536939697177,0.4736853257120644,9
40,2.25,10,0.6,0.7754613177498749,0.15623783881209008,0.47369611296841285,9
40,1.75,15,0.6,0.7754613177498749,0.15623469956361227,0.47370692019191324,9
40,2.0,10,0.6,0.7754613177498749,0.15623575037855683,0.473719456935282,9
22,2.0,10,0.7,0.7944404959330332,0.15471883663497557,0.4737327594431805,9
40,1.75,10,0.6,0.7736976493195399,0.1562351880778273,0.47374557292719327,9
40,1.5,15,0.6,0.7754613177498749,0.15623557841928623,0.47374868979339824,9
40,1.5,10,0.6,0.7736976493195399,0.15623615747115932,0.47377447298511793,9
22,1.5,15,0.7,0.7944404959330332,0.1547284736959158,0.4737881414412198,9
22,1.75,10,0.7,0.7944404959330332,0.15473217087895852,0.4737965630350424,9
40,1.5,25,0.6,0.7754613177498749,0.15625695036207007,0.4738312562591238,9
40,1.0,20,0.6,0.7719339808892047,0.1562427215318099,0.47384069571326365,9
40,1.0,15,0.6,0.7719339808892047,0.1562427215318099,0.47384069571326365,9
40,1.0,30,0.6,0.7719339808892047,0.1562427215318099,0.47384069571326365,9
40,1.0,10,0.6,0.7719339808892047,0.1562427215318099,0.47384069571326365,9
40,1.0,25,0.6,0.7719339808892047,0.1562427215318099,0.47384069571326365,9
40,1.75,25,0.6,0.7754613177498749,0.15627213529187098,0.4738434585210593,9
22,1.5,10,0.7,0.7944404959330332,0.1547470947721035,0.4738636120154387,9
40,2.0,25,0.6,0.7754613177498749,0.15629253604742926,0.47386643626194963,9
40,2.25,25,0.6,0.7754613177498749,0.15631804840467142,0.47389985128000434,9
40,2.5,25,0.6,0.7755666113875068,0.15634858266848017,0.47394339767945265,9
40,2.75,25,0.6,0.7721445681644686,0.15638406302477098,0.47399680125101334,9
22,1.0,15,0.7,0.7944404959330332,0.15478174993551075,0.47400753243884314,9
22,1.0,25,0.7,0.7944404959330332,0.15478174993551075,0.47400753243884314,9
22,1.0,30,0.7,0.7944404959330332,0.15478174993551075,0.47400753243884314,9
22,1.0,10,0.7,0.7944404959330332,0.15478174993551075,0.47400753243884314,9
22,1.0,20,0.7,0.7944404959330332,0.15478174993551075,0.47400753243884314,9
22,1.5,30,0.7,0.7978625391560715,0.15483392928627226,0.4740418414831701,9
40,3.0,25,0.6,0.7721445681644686,0.15642442691327674,0.47405981877467884,9
22,1.75,30,0.7,0.7978625391560715,0.15486999613879307,0.4740793422921221,9
22,2.0,30,0.7,0.7978625391560715,0.15491246847230927,0.47412988604958467,9
22,2.25,30,0.7,0.7978625391560715,0.15496117743581317,0.4741931152562595,9
22,2.5,30,0.7,0.7978625391560715,0.15501596586104838,0.47426869729160814,9
22,2.75,30,0.7,0.7978625391560715,0.1550766876339819,0.47435632301561853,9
22,3.0,30,0.7,0.7978625391560715,0.15514320710696833,0.4744557054882807,9
40,1.5,30,0.6,0.7736976493195399,0.1565327899698437,0.4745804995352856,9
20,3.0,20,0.7,0.7996262075864066,0.1549759429904044,0.4748791567971262,9
40,1.75,30,0.6,0.7738029429571718,0.1566921122716169,0.47498116902002213,9
35,3.0,20,0.6,0.7722498618021005,0.15630096838908958,0.4749958217992106,9
20,2.75,20,0.7,0.7996262075864066,0.15501520272773697,0.47504618533179155,9
35,2.75,20,0.6,0.7739082365948037,0.1563150793937375,0.4750823539673353,9
20,3.0,25,0.7,0.8013898760167417,0.15507897769778947,0.475093844638961,9
35,2.5,20,0.6,0.7739082365948037,0.15633194148493984,0.4751737473138173,9
20,2.5,20,0.7,0.7978625391560715,0.1550577340186216,0.47521965838482116,9
20,2.75,25,0.7,0.8013898760167417,0.1551010888415821,0.47522482423174206,9
35,2.25,20,0.6,0.7755666113875068,0.15635159880384075,0.47527010363364475,9
20,2.5,25,0.7,0.8013898760167417,0.1551276041804701,0.4753647052172465,9
35,2.0,20,0.6,0.7755666113875068,0.1563741020128235,0.47537153884994093,9
20,2.25,20,0.7,0.7978625391560715,0.15510358618960285,0.4753996699841878,9
40,2.0,30,0.6,0.7755666113875068,0.1568607055215646,0.47540143491975073,9
35,3.0,15,0.6,0.7755666113875068,0.15646384780477296,0.47542620044284717,9
35,2.75,15,0.6,0.7755666113875068,0.1564616022276316,0.4754669854883178,9
35,1.75,20,0.6,0.7755666113875068,0.1563995083908906,0.4754781831111953,9
35,2.5,15,0.6,0.7755666113875068,0.1564610309808895,0.47551049982986604,9
20,2.25,25,0.7,0.7996262075864067,0.15515861280313673,0.4755136616106809,9
35,3.0,10,0.6,0.7755666113875068,0.15646955922803005,0.4755520441461243,9
35,2.25,15,0.6,0.7755666113875068,0.15646214929512098,0.47555677040269273,9
20,3.0,15,0.7,0.7960988707257364,0.15519901530198613,0.47557272172622844,9
35,2.75,10,0.6,0.7755666113875068,0.15646755405214335,0.4755775130396925,9
20,2.0,20,0.7,0.7978625391560715,0.1551528115327723,0.4755863205799197,9
35,1.5,20,0.6,0.7772249861802101,0.15642788192417859,0.47559018086329563,9
35,2.5,10,0.6,0.7755666113875068,0.15646698050477487,0.47560564851437664,9
35,2.0,15,0.6,0.7755666113875068,0.15646497530398434,0.47560583098411807,9
35,2.25,10,0.6,0.7772249861802101,0.15646784094341332,0.4756364541036513,9
35,1.75,15,0.6,0.7755666113875068,0.1564695300417337,0.47565772215561225,9
20,2.75,15,0.7,0.7960988707257364,0.15521449054769473,0.47566116556425697,9
35,2.0,10,0.6,0.7772249861802101,0.1564701389386398,0.4756699366049961,9
20,2.0,25,0.7,0.7996262075864067,0.1551942096723046,0.47567187969932867,9
35,1.75,10,0.6,0.7772249861802101,0.15647387927632617,0.4757061060863741,9
35,1.5,15,0.6,0.7772249861802101,0.15647583744151167,0.47571249126789006,9
35,1.5,10,0.6,0.7772249861802101,0.15647906795891423,0.4757449758963868,9
20,2.5,15,0.7,0.7960988707257364,0.15523213485393395,0.4757538706061822,9
